sample_fp	plate	well	tile	round
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-031__Channel_Cy5,Cy3,DAPI.nd2	1	A3	31	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-032__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	32	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-032__Channel_AF750,Cy3,DAPI.nd2	1	A3	32	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-032__Channel_Cy5,Cy3,DAPI.nd2	1	A3	32	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-033__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	33	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-033__Channel_AF750,Cy3,DAPI.nd2	1	A3	33	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-033__Channel_Cy5,Cy3,DAPI.nd2	1	A3	33	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-034__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	34	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-034__Channel_AF750,Cy3,DAPI.nd2	1	A3	34	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-034__Channel_Cy5,Cy3,DAPI.nd2	1	A3	34	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-035__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	35	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-035__Channel_AF750,Cy3,DAPI.nd2	1	A3	35	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-035__Channel_Cy5,Cy3,DAPI.nd2	1	A3	35	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-036__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	36	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-036__Channel_AF750,Cy3,DAPI.nd2	1	A3	36	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-036__Channel_Cy5,Cy3,DAPI.nd2	1	A3	36	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-037__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	37	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-037__Channel_AF750,Cy3,DAPI.nd2	1	A3	37	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-037__Channel_Cy5,Cy3,DAPI.nd2	1	A3	37	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-038__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	38	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-038__Channel_AF750,Cy3,DAPI.nd2	1	A3	38	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-038__Channel_Cy5,Cy3,DAPI.nd2	1	A3	38	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-039__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	39	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-039__Channel_AF750,Cy3,DAPI.nd2	1	A3	39	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-039__Channel_Cy5,Cy3,DAPI.nd2	1	A3	39	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-040__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	40	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-040__Channel_AF750,Cy3,DAPI.nd2	1	A3	40	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-040__Channel_Cy5,Cy3,DAPI.nd2	1	A3	40	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-041__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	41	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-041__Channel_AF750,Cy3,DAPI.nd2	1	A3	41	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-041__Channel_Cy5,Cy3,DAPI.nd2	1	A3	41	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-042__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	42	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-042__Channel_AF750,Cy3,DAPI.nd2	1	A3	42	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-042__Channel_Cy5,Cy3,DAPI.nd2	1	A3	42	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-043__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	43	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-043__Channel_AF750,Cy3,DAPI.nd2	1	A3	43	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-043__Channel_Cy5,Cy3,DAPI.nd2	1	A3	43	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-044__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	44	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-044__Channel_AF750,Cy3,DAPI.nd2	1	A3	44	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-044__Channel_Cy5,Cy3,DAPI.nd2	1	A3	44	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-045__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	45	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-045__Channel_AF750,Cy3,DAPI.nd2	1	A3	45	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-045__Channel_Cy5,Cy3,DAPI.nd2	1	A3	45	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-046__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	46	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-046__Channel_AF750,Cy3,DAPI.nd2	1	A3	46	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-046__Channel_Cy5,Cy3,DAPI.nd2	1	A3	46	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-047__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	47	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-047__Channel_AF750,Cy3,DAPI.nd2	1	A3	47	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-047__Channel_Cy5,Cy3,DAPI.nd2	1	A3	47	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-048__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	48	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-048__Channel_AF750,Cy3,DAPI.nd2	1	A3	48	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-048__Channel_Cy5,Cy3,DAPI.nd2	1	A3	48	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-049__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	49	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-049__Channel_AF750,Cy3,DAPI.nd2	1	A3	49	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-049__Channel_Cy5,Cy3,DAPI.nd2	1	A3	49	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-050__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	50	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-050__Channel_AF750,Cy3,DAPI.nd2	1	A3	50	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-050__Channel_Cy5,Cy3,DAPI.nd2	1	A3	50	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-051__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	51	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-051__Channel_AF750,Cy3,DAPI.nd2	1	A3	51	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-051__Channel_Cy5,Cy3,DAPI.nd2	1	A3	51	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-052__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	52	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-052__Channel_AF750,Cy3,DAPI.nd2	1	A3	52	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-052__Channel_Cy5,Cy3,DAPI.nd2	1	A3	52	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-053__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	53	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-053__Channel_AF750,Cy3,DAPI.nd2	1	A3	53	2
